Transaction_ID,Customer_ID,Customer_Name,Product_Category,Product_Name,Unit_Price,Quantity,Total_Amount,Payment_Method,City,Transaction_Date,loaded_at
8223,CUST-1802,Sarah Gonzalez,Sports,Football,106.64,6.0,639.84,PayPal,Philadelphia,2024-10-18,2026-02-11 11:45:39
7432,CUST-3676,Susan Jones,Sports,Yoga Mat,494.47,2.0,988.94,Credit Card,Dallas,2024-08-14,2026-02-11 11:45:39
1701,CUST-6362,Elizabeth Hernandez,Home,Sofa,966.16,4.0,3864.64,PayPal,San Jose,2024-01-07,2026-02-11 11:45:39
7025,CUST-9612,John Lopez,Sports,Football,607.77,7.0,4254.389999999999,Credit Card,Houston,2024-07-13,2026-02-11 11:45:39
14111,CUST-2966,Richard Jackson,Sports,Tennis Racket,831.15,3.0,2493.45,Credit Card,San Diego,2024-01-01,2026-02-11 11:45:39
13116,CUST-6165,Susan Wilson,Sports,Dumbbells,526.85,3.0,1580.5500000000002,Cash,Los Angeles,2024-03-27,2026-02-11 11:45:39
9352,CUST-1555,Charles Moore,Beauty,Perfume,354.26,8.0,2834.08,Debit Card,San Diego,2024-06-21,2026-02-11 11:45:39
6972,CUST-2710,Sarah Garcia,Electronics,Headphones,605.67,4.0,2422.68,Credit Card,Houston,2024-10-14,2026-02-11 11:45:39
8846,CUST-7584,Patricia Martin,Beauty,Shampoo,735.13,6.0,4410.78,Credit Card,San Antonio,2023-04-14,2026-02-11 11:45:39
14250,CUST-7094,Thomas Wilson,Clothing,Product Unknown,995.59,1.0,995.59,Credit Card,San Antonio,2023-03-29,2026-02-11 11:45:39
3716,CUST-5014,Michael Garcia,Sports,Football,318.76,6.0,1912.56,Credit Card,Dallas,2024-10-14,2026-02-11 11:45:39
2836,CUST-7899,Richard Miller,Sports,Football,920.34,6.0,5522.04,Unknown,New York,2024-10-06,2026-02-11 11:45:39
7764,CUST-8772,Mary Jones,Beauty,Mascara,716.19,1.0,716.19,Credit Card,San Jose,2023-04-20,2026-02-11 11:45:39
8975,CUST-5788,Elizabeth Gonzalez,Electronics,Laptop,435.31,3.0,1305.93,Unknown,New York,2023-01-11,2026-02-11 11:45:39
13152,CUST-6484,Charles Martin,Electronics,Product Unknown,54.78,2.0,109.56,Credit Card,Philadelphia,2023-03-21,2026-02-11 11:45:39
2216,CUST-7574,Sarah Wilson,Beauty,Lipstick,311.7,9.0,2805.2999999999997,PayPal,Houston,2024-08-14,2026-02-11 11:45:39
3529,CUST-8282,Charles Hernandez,Sports,Tennis Racket,494.47,4.0,1977.88,Debit Card,Los Angeles,2023-10-21,2026-02-11 11:45:39
6726,CUST-8633,James Martin,Clothing,Jeans,98.76,3.0,296.28000000000003,Debit Card,San Diego,2024-03-27,2026-02-11 11:45:39
561,CUST-6831,Charles Martinez,Electronics,Laptop,707.04,2.0,1414.08,Debit Card,Philadelphia,2024-03-19,2026-02-11 11:45:39
3564,CUST-9503,Susan Jackson,Clothing,Dress,424.42,1.0,424.42,PayPal,Dallas,2023-01-29,2026-02-11 11:45:39
13725,CUST-9179,John Moore,Clothing,Jeans,947.75,6.0,5686.5,Cash,Philadelphia,2023-12-16,2026-02-11 11:45:39
6625,CUST-1926,Sarah Thomas,Home,Sofa,820.18,5.0,4100.9,Cash,Los Angeles,2024-08-26,2026-02-11 11:45:39
11216,CUST-5466,James Johnson,Sports,Yoga Mat,256.26,5.0,1281.3,Credit Card,New York,2024-10-24,2026-02-11 11:45:39
4095,CUST-4898,David Johnson,Home,Sofa,338.65,3.0,1015.9499999999999,PayPal,Houston,2023-06-11,2026-02-11 11:45:39
7848,CUST-2099,Linda Brown,Sports,Tennis Racket,499.07,8.0,3992.56,Debit Card,San Jose,2024-02-26,2026-02-11 11:45:39
10632,CUST-3853,Susan Thomas,Clothing,Dress,745.03,4.0,2980.12,Credit Card,New York,2024-04-29,2026-02-11 11:45:39
7797,CUST-7853,David Hernandez,Home,Chair,937.48,1.0,937.48,PayPal,Chicago,2023-11-05,2026-02-11 11:45:39
9597,CUST-6297,Charles Davis,Electronics,Headphones,502.78,6.0,3016.68,PayPal,San Diego,2023-10-19,2026-02-11 11:45:39
12195,CUST-6302,James Rodriguez,Sports,Football,318.08,8.0,2544.64,Cash,Dallas,2023-09-15,2026-02-11 11:45:39
9069,CUST-2329,Michael Anderson,Clothing,Sneakers,40.19,6.0,241.14,Credit Card,Chicago,2023-01-06,2026-02-11 11:45:39
14010,CUST-9636,Elizabeth Hernandez,Sports,Bike,981.79,7.0,6872.53,Credit Card,New York,2024-02-08,2026-02-11 11:45:39
9753,CUST-1822,Linda Garcia,Clothing,Jacket,496.94,1.0,496.94,Cash,Houston,2024-06-02,2026-02-11 11:45:39
3776,CUST-5260,Patricia Davis,Sports,Product Unknown,932.24,5.0,4661.2,Credit Card,Houston,2024-03-24,2026-02-11 11:45:39
10409,CUST-1738,Robert Gonzalez,Home,Sofa,614.08,7.0,4298.56,Cash,Chicago,2023-11-12,2026-02-11 11:45:39
2952,CUST-8514,Barbara Brown,Beauty,Perfume,700.24,1.0,700.24,PayPal,San Jose,2023-11-09,2026-02-11 11:45:39
12324,CUST-2572,Joseph Brown,Sports,Bike,591.49,2.0,1182.98,Debit Card,Chicago,2023-10-24,2026-02-11 11:45:39
5455,CUST-5803,Mary Jones,Clothing,Product Unknown,706.99,3.0,2120.9700000000003,Credit Card,San Antonio,2024-05-16,2026-02-11 11:45:39
7854,CUST-5185,James Jackson,Home,Lamp,302.8,7.0,2119.6,Debit Card,Dallas,2023-08-03,2026-02-11 11:45:39
12813,CUST-1347,William Anderson,Sports,Football,494.47,9.0,4450.2300000000005,Debit Card,Houston,2023-09-21,2026-02-11 11:45:39
3608,CUST-8850,David Lopez,Electronics,Product Unknown,292.85,7.0,2049.9500000000003,PayPal,San Antonio,2023-01-07,2026-02-11 11:45:39
9517,CUST-7852,Charles Jones,Electronics,Headphones,474.74,1.0,474.74,Debit Card,Los Angeles,2024-03-21,2026-02-11 11:45:39
2318,CUST-1439,John Jones,Beauty,Shampoo,400.63,5.0,2003.15,Debit Card,Philadelphia,2024-01-31,2026-02-11 11:45:39
10727,CUST-4093,Karen Miller,Home,Table,378.74,3.0,1136.22,Debit Card,Philadelphia,2024-05-04,2026-02-11 11:45:39
2322,CUST-7730,Mary Garcia,Home,Sofa,716.89,6.0,4301.34,Debit Card,New York,2023-10-10,2026-02-11 11:45:39
4005,CUST-2053,Barbara Brown,Electronics,Laptop,494.47,6.0,2966.82,Debit Card,Chicago,2024-08-24,2026-02-11 11:45:39
10262,CUST-2380,Sarah Davis,Home,Sofa,683.31,5.0,3416.5499999999997,PayPal,Philadelphia,2024-06-16,2026-02-11 11:45:39
14734,CUST-3398,Susan Brown,Electronics,Headphones,679.97,4.0,2719.88,Credit Card,Phoenix,2023-08-01,2026-02-11 11:45:39
12607,CUST-3765,Michael Martin,Home,Chair,607.61,8.0,4860.88,Unknown,Houston,2024-07-23,2026-02-11 11:45:39
9312,CUST-9822,Karen Jackson,Beauty,Lipstick,952.97,3.0,2858.91,Credit Card,Los Angeles,2023-11-25,2026-02-11 11:45:39
9890,CUST-8553,Susan Davis,Electronics,Headphones,302.97,9.0,2726.7300000000005,Credit Card,Houston,2023-02-15,2026-02-11 11:45:39
2939,CUST-4768,Michael Moore,Sports,Football,952.7,5.0,4763.5,Debit Card,New York,2024-12-04,2026-02-11 11:45:39
755,CUST-5008,Thomas Taylor,Electronics,Laptop,147.88,6.0,887.28,Credit Card,Los Angeles,2023-06-30,2026-02-11 11:45:39
11998,CUST-6598,Richard Jackson,Electronics,Smartphone,314.25,1.0,314.25,Debit Card,New York,2024-05-24,2026-02-11 11:45:39
8740,CUST-6674,Susan Williams,Beauty,Lipstick,594.85,5.0,2974.25,Debit Card,New York,2023-09-08,2026-02-11 11:45:39
8235,CUST-8617,Sarah Brown,Electronics,Tablet,105.95,1.0,105.95,Cash,Philadelphia,2024-12-04,2026-02-11 11:45:39
10194,CUST-8222,Susan Johnson,Sports,Tennis Racket,889.76,4.0,3559.04,Credit Card,San Diego,2023-10-23,2026-02-11 11:45:39
5208,CUST-6127,Richard Davis,Beauty,Cream,440.19,8.0,3521.52,PayPal,San Diego,2023-06-28,2026-02-11 11:45:39
14908,CUST-7278,Patricia Anderson,Sports,Dumbbells,511.49,1.0,511.49,Credit Card,Houston,2023-11-11,2026-02-11 11:45:39
2138,CUST-5262,Barbara Hernandez,Beauty,Shampoo,734.18,7.0,5139.259999999999,Credit Card,Chicago,2023-11-13,2026-02-11 11:45:39
200,CUST-5239,Susan Martin,Home,Sofa,782.08,3.0,2346.2400000000002,PayPal,San Antonio,2023-10-01,2026-02-11 11:45:39
3570,CUST-4748,Mary Wilson,Electronics,Tablet,494.47,7.0,3461.29,Debit Card,Los Angeles,2024-02-25,2026-02-11 11:45:39
6477,CUST-2459,Sarah Miller,Home,Lamp,521.96,1.0,521.96,Cash,San Antonio,2023-09-18,2026-02-11 11:45:39
8663,CUST-9476,Jessica Smith,Sports,Bike,494.47,7.0,3461.29,PayPal,Dallas,2023-11-23,2026-02-11 11:45:39
10353,CUST-2065,Patricia Johnson,Home,Chair,115.81,6.0,694.86,PayPal,San Antonio,2023-08-07,2026-02-11 11:45:39
8093,CUST-1537,Mary Johnson,Beauty,Lipstick,590.0,1.0,590.0,Credit Card,Phoenix,2023-10-12,2026-02-11 11:45:39
1962,CUST-9490,Joseph Hernandez,Electronics,Monitor,415.81,6.0,2494.86,Debit Card,Houston,2023-09-16,2026-02-11 11:45:39
6181,CUST-9422,Joseph Gonzalez,Clothing,T-Shirt,597.56,4.0,2390.24,Debit Card,Dallas,2023-11-18,2026-02-11 11:45:39
13622,CUST-8925,Charles Moore,Sports,Bike,305.22,9.0,2746.9800000000005,Cash,Dallas,2023-04-18,2026-02-11 11:45:39
13732,CUST-5391,James Gonzalez,Clothing,T-Shirt,324.95,3.0,974.8499999999999,Debit Card,Philadelphia,2023-10-06,2026-02-11 11:45:39
6996,CUST-8954,Jennifer Garcia,Home,Sofa,583.94,3.0,1751.8200000000002,Debit Card,Philadelphia,2024-06-12,2026-02-11 11:45:39
6490,CUST-5147,John Davis,Electronics,Headphones,494.47,4.0,1977.88,Cash,Philadelphia,2023-03-06,2026-02-11 11:45:39
5366,CUST-5760,Michael Jackson,Sports,Bike,990.38,2.0,1980.76,Debit Card,San Diego,2024-11-09,2026-02-11 11:45:39
3770,CUST-8441,Jessica Lopez,Electronics,Tablet,125.42,4.0,501.68,Debit Card,San Jose,2024-03-09,2026-02-11 11:45:39
4496,CUST-5769,Karen Hernandez,Electronics,Monitor,614.01,4.0,2456.04,Debit Card,San Jose,2023-10-16,2026-02-11 11:45:39
9145,CUST-5789,Linda Wilson,Beauty,Product Unknown,736.58,7.0,5156.06,Debit Card,San Jose,2023-01-12,2026-02-11 11:45:39
7683,CUST-9950,Michael Lopez,Electronics,Headphones,618.75,4.0,2475.0,Unknown,Houston,2024-08-17,2026-02-11 11:45:39
11050,CUST-6295,Robert Martinez,Beauty,Shampoo,494.47,3.0,1483.41,Unknown,New York,2023-07-15,2026-02-11 11:45:39
6640,CUST-1272,Jessica Jones,Electronics,Laptop,455.31,7.0,3187.17,Cash,San Antonio,2023-05-27,2026-02-11 11:45:39
7964,CUST-4618,Joseph Anderson,Home,Sofa,473.78,2.0,947.56,Credit Card,Dallas,2023-11-17,2026-02-11 11:45:39
1242,CUST-4543,Charles Martin,Beauty,Cream,778.83,6.0,4672.9800000000005,PayPal,San Diego,2023-02-06,2026-02-11 11:45:39
12885,CUST-4167,James Taylor,Home,Rug,122.8,2.0,245.6,Credit Card,Los Angeles,2023-01-12,2026-02-11 11:45:39
8326,CUST-2458,Elizabeth Jones,Sports,Yoga Mat,827.06,6.0,4962.36,Cash,San Jose,2024-11-08,2026-02-11 11:45:39
6007,CUST-8614,William Lopez,Sports,Football,523.18,9.0,4708.62,Cash,Los Angeles,2023-07-04,2026-02-11 11:45:39
8287,CUST-6949,Susan Brown,Home,Sofa,446.86,7.0,3128.02,Cash,Philadelphia,2023-03-19,2026-02-11 11:45:39
9291,CUST-5509,Richard Gonzalez,Beauty,Product Unknown,516.9,2.0,1033.8,PayPal,Dallas,2024-04-28,2026-02-11 11:45:39
1167,CUST-2149,Charles Jackson,Beauty,Lipstick,833.81,6.0,5002.86,PayPal,Philadelphia,2024-01-08,2026-02-11 11:45:39
3889,CUST-6922,Barbara Martinez,Beauty,Perfume,633.52,9.0,5701.68,Cash,San Diego,2023-02-17,2026-02-11 11:45:39
7490,CUST-3154,Thomas Johnson,Clothing,Jeans,809.4,2.0,1618.8,Debit Card,San Diego,2023-07-04,2026-02-11 11:45:39
6628,CUST-1135,David Anderson,Clothing,Jeans,695.95,8.0,5567.6,Credit Card,Chicago,2023-07-17,2026-02-11 11:45:39
7674,CUST-7286,Elizabeth Johnson,Electronics,Monitor,494.47,1.0,494.47,Cash,Houston,2024-12-25,2026-02-11 11:45:39
8421,CUST-7234,Patricia Thomas,Electronics,Tablet,576.11,4.0,2304.44,Debit Card,Los Angeles,2023-04-29,2026-02-11 11:45:39
666,CUST-2990,Linda Wilson,Beauty,Perfume,161.33,3.0,483.99,PayPal,Los Angeles,2023-04-20,2026-02-11 11:45:39
1577,CUST-6040,David Moore,Clothing,Dress,33.4,1.0,33.4,PayPal,Phoenix,2023-02-04,2026-02-11 11:45:39
11887,CUST-3193,James Jackson,Clothing,Product Unknown,251.4,8.0,2011.2,Debit Card,New York,2024-12-16,2026-02-11 11:45:39
2379,CUST-1707,Linda Wilson,Beauty,Cream,451.96,3.0,1355.8799999999999,Debit Card,Houston,2024-12-17,2026-02-11 11:45:39
11945,CUST-1011,John Johnson,Sports,Football,925.37,6.0,5552.22,PayPal,San Antonio,2024-11-01,2026-02-11 11:45:39
14002,CUST-8941,Patricia Miller,Beauty,Mascara,98.58,2.0,197.16,Cash,New York,2023-01-24,2026-02-11 11:45:39
3952,CUST-5973,Robert Martinez,Electronics,Tablet,836.6,6.0,5019.6,Cash,San Diego,2023-05-29,2026-02-11 11:45:39
1290,CUST-7004,Barbara Hernandez,Electronics,Headphones,87.79,1.0,87.79,Cash,Dallas,2024-09-10,2026-02-11 11:45:39
2208,CUST-6382,Michael Hernandez,Clothing,T-Shirt,859.76,6.0,5158.5599999999995,Cash,Philadelphia,2023-11-21,2026-02-11 11:45:39
4300,CUST-4204,Linda Jones,Home,Chair,599.72,9.0,5397.4800000000005,Debit Card,Los Angeles,2023-01-30,2026-02-11 11:45:39
7308,CUST-7539,Richard Wilson,Home,Rug,304.6,1.0,304.6,Unknown,New York,2023-02-19,2026-02-11 11:45:39
1298,CUST-7125,David Davis,Electronics,Monitor,113.52,4.0,454.08,Credit Card,Dallas,2024-09-03,2026-02-11 11:45:39
10657,CUST-3304,William Jones,Beauty,Lipstick,437.8,6.0,2626.8,PayPal,San Antonio,2024-11-12,2026-02-11 11:45:39
6902,CUST-9801,Michael Taylor,Clothing,Jeans,207.58,7.0,1453.0600000000002,Credit Card,San Jose,2024-02-16,2026-02-11 11:45:39
11415,CUST-1514,Linda Hernandez,Sports,Tennis Racket,494.47,7.0,3461.29,Credit Card,Los Angeles,2024-12-07,2026-02-11 11:45:39
3141,CUST-5653,Jessica Johnson,Beauty,Mascara,377.4,5.0,1887.0,Credit Card,Los Angeles,2024-05-28,2026-02-11 11:45:39
4017,CUST-5753,David Wilson,Home,Sofa,887.23,1.0,887.23,Credit Card,San Diego,2023-08-31,2026-02-11 11:45:39
7621,CUST-7026,Jennifer Smith,Beauty,Lipstick,862.42,5.0,4312.099999999999,Cash,San Jose,2023-02-19,2026-02-11 11:45:39
7969,CUST-3509,Richard Jones,Sports,Dumbbells,426.13,4.0,1704.52,Debit Card,Los Angeles,2024-02-26,2026-02-11 11:45:39
13634,CUST-9458,Michael Martinez,Sports,Football,664.42,6.0,3986.5199999999995,PayPal,Dallas,2024-11-17,2026-02-11 11:45:39
10586,CUST-3511,Jennifer Smith,Home,Chair,328.52,4.0,1314.08,Credit Card,Chicago,2024-05-12,2026-02-11 11:45:39
364,CUST-6793,Michael Lopez,Electronics,Monitor,550.16,1.0,550.16,PayPal,San Jose,2024-08-25,2026-02-11 11:45:39
6986,CUST-8802,Susan Wilson,Home,Chair,310.18,7.0,2171.26,PayPal,Phoenix,2023-10-01,2026-02-11 11:45:39
6234,CUST-8291,Barbara Williams,Home,Rug,182.75,6.0,1096.5,Debit Card,Philadelphia,2024-11-04,2026-02-11 11:45:39
2390,CUST-5743,John Williams,Clothing,Jacket,691.52,4.0,2766.08,Credit Card,Chicago,2024-09-29,2026-02-11 11:45:39
12477,CUST-6767,Susan Williams,Sports,Tennis Racket,220.5,4.0,882.0,Debit Card,San Antonio,2024-01-14,2026-02-11 11:45:39
4419,CUST-1382,Mary Jackson,Beauty,Shampoo,342.02,6.0,2052.12,Debit Card,Phoenix,2024-03-24,2026-02-11 11:45:39
3648,CUST-1255,Elizabeth Anderson,Beauty,Product Unknown,435.69,5.0,2178.45,Credit Card,Chicago,2023-05-31,2026-02-11 11:45:39
14891,CUST-5335,Joseph Martinez,Sports,Football,687.59,4.0,2750.36,Cash,San Antonio,2023-05-24,2026-02-11 11:45:39
3755,CUST-8576,Charles Lopez,Clothing,Dress,278.92,1.0,278.92,Credit Card,San Diego,2023-01-27,2026-02-11 11:45:39
9548,CUST-3973,James Martin,Home,Product Unknown,43.1,4.0,172.4,PayPal,New York,2023-05-31,2026-02-11 11:45:39
14300,CUST-6330,Karen Martinez,Beauty,Shampoo,707.79,3.0,2123.37,Credit Card,Dallas,2024-08-12,2026-02-11 11:45:39
1392,CUST-1777,David Gonzalez,Sports,Bike,82.76,9.0,744.84,Credit Card,San Diego,2024-10-15,2026-02-11 11:45:39
6408,CUST-8719,Joseph Wilson,Clothing,Jacket,494.47,9.0,4450.2300000000005,Unknown,Dallas,2023-04-23,2026-02-11 11:45:39
8671,CUST-3798,Linda Martin,Clothing,T-Shirt,494.47,7.0,3461.29,Credit Card,Chicago,2024-10-16,2026-02-11 11:45:39
13283,CUST-5382,Linda Johnson,Sports,Football,624.91,7.0,4374.37,Debit Card,San Diego,2024-05-21,2026-02-11 11:45:39
