Transaction_ID,Customer_ID,Customer_Name,Product_Category,Product_Name,Unit_Price,Quantity,Total_Amount,Payment_Method,City,Transaction_Date
8223,CUST-1802,Sarah Gonzalez,Sports,Football,106.64,6.0,639.84,PayPal,Philadelphia,2024-10-18
7432,CUST-3676,Susan Jones,Sports,Yoga Mat,,2.0,,Credit Card,Dallas,2024-08-14
1701,CUST-6362,Elizabeth Hernandez,Home,Sofa,966.16,4.0,,PayPal,San Jose,2024-01-07
7025,CUST-9612,John Lopez,Sports,Football,607.77,7.0,4254.389999999999,Credit Card,Houston,2024-07-13
14111,CUST-2966,Richard Jackson,Sports,Tennis Racket,831.15,3.0,2493.45,Credit Card,San Diego,2024-01-01
13116,CUST-6165,Susan Wilson,Sports,Dumbbells,526.85,3.0,1580.5500000000002,Cash,Los Angeles,2024-03-27
9352,CUST-1555,Charles Moore,Beauty,Perfume,354.26,8.0,2834.08,Debit Card,San Diego,2024-06-21
6972,CUST-2710,Sarah Garcia,Electronics,Headphones,605.67,4.0,2422.68,Credit Card,Houston,2024-10-14
8846,CUST-7584,Patricia Martin,Beauty,Shampoo,735.13,6.0,4410.78,Credit Card,San Antonio,2023-04-14
14250,CUST-7094,Thomas Wilson,Clothing,,995.59,1.0,995.59,Credit Card,San Antonio,2023-03-29
3716,CUST-5014,Michael Garcia,Sports,Football,318.76,6.0,1912.56,Credit Card,Dallas,2024-10-14
2836,CUST-7899,Richard Miller,Sports,Football,920.34,6.0,5522.04,,New York,2024-10-06
7764,CUST-8772,Mary Jones,Beauty,Mascara,716.19,1.0,716.19,Credit Card,San Jose,2023-04-20
8975,CUST-5788,Elizabeth Gonzalez,Electronics,Laptop,435.31,3.0,,,New York,2023-01-11
13152,CUST-6484,Charles Martin,Electronics,,54.78,2.0,109.56,Credit Card,Philadelphia,2023-03-21
2216,CUST-7574,Sarah Wilson,Beauty,Lipstick,311.7,9.0,2805.2999999999997,PayPal,Houston,2024-08-14
3529,CUST-8282,Charles Hernandez,Sports,Tennis Racket,,4.0,3872.32,Debit Card,Los Angeles,2023-10-21
6726,CUST-8633,James Martin,Clothing,Jeans,98.76,3.0,296.28000000000003,Debit Card,San Diego,2024-03-27
561,CUST-6831,Charles Martinez,Electronics,Laptop,707.04,2.0,1414.08,Debit Card,Philadelphia,2024-03-19
3564,CUST-9503,Susan Jackson,Clothing,Dress,424.42,,3395.36,PayPal,Dallas,2023-01-29
13725,CUST-9179,John Moore,Clothing,Jeans,947.75,6.0,5686.5,Cash,Philadelphia,2023-12-16
6625,CUST-1926,Sarah Thomas,Home,Sofa,820.18,5.0,4100.9,Cash,Los Angeles,2024-08-26
11216,CUST-5466,James Johnson,Sports,Yoga Mat,256.26,5.0,1281.3,Credit Card,New York,2024-10-24
4095,CUST-4898,David Johnson,Home,Sofa,338.65,3.0,1015.9499999999999,PayPal,Houston,2023-06-11
7848,CUST-2099,Linda Brown,Sports,Tennis Racket,499.07,8.0,3992.56,Debit Card,San Jose,2024-02-26
10632,CUST-3853,Susan Thomas,Clothing,Dress,745.03,4.0,2980.12,Credit Card,New York,2024-04-29
7797,CUST-7853,David Hernandez,Home,Chair,937.48,,4687.4,PayPal,Chicago,2023-11-05
9597,CUST-6297,Charles Davis,Electronics,Headphones,502.78,6.0,3016.68,PayPal,San Diego,2023-10-19
12195,CUST-6302,James Rodriguez,Sports,Football,318.08,8.0,2544.64,Cash,Dallas,2023-09-15
9069,CUST-2329,Michael Anderson,Clothing,Sneakers,40.19,6.0,241.14,Credit Card,Chicago,2023-01-06
14010,CUST-9636,Elizabeth Hernandez,Sports,Bike,981.79,7.0,,Credit Card,New York,2024-02-08
9753,CUST-1822,Linda Garcia,Clothing,Jacket,496.94,1.0,496.94,Cash,Houston,2024-06-02
3776,CUST-5260,Patricia Davis,Sports,,932.24,5.0,4661.2,Credit Card,Houston,2024-03-24
10409,CUST-1738,Robert Gonzalez,Home,Sofa,614.08,7.0,4298.56,Cash,Chicago,2023-11-12
2952,CUST-8514,Barbara Brown,Beauty,Perfume,700.24,1.0,700.24,PayPal,San Jose,2023-11-09
12324,CUST-2572,Joseph Brown,Sports,Bike,591.49,2.0,1182.98,Debit Card,Chicago,2023-10-24
5455,CUST-5803,Mary Jones,Clothing,,706.99,3.0,2120.9700000000003,Credit Card,San Antonio,2024-05-16
7854,CUST-5185,James Jackson,Home,Lamp,302.8,7.0,2119.6,Debit Card,Dallas,2023-08-03
12813,CUST-1347,William Anderson,Sports,Football,,9.0,,Debit Card,Houston,2023-09-21
3608,CUST-8850,David Lopez,Electronics,,292.85,7.0,2049.9500000000003,PayPal,San Antonio,2023-01-07
9517,CUST-7852,Charles Jones,Electronics,Headphones,474.74,,1898.96,Debit Card,Los Angeles,2024-03-21
2318,CUST-1439,John Jones,Beauty,Shampoo,400.63,5.0,2003.15,Debit Card,Philadelphia,2024-01-31
10727,CUST-4093,Karen Miller,Home,Table,378.74,3.0,1136.22,Debit Card,Philadelphia,2024-05-04
2322,CUST-7730,Mary Garcia,Home,Sofa,716.89,6.0,4301.34,Debit Card,New York,2023-10-10
4005,CUST-2053,Barbara Brown,Electronics,Laptop,,6.0,,Debit Card,Chicago,2024-08-24
10262,CUST-2380,Sarah Davis,Home,Sofa,683.31,5.0,3416.5499999999997,PayPal,Philadelphia,2024-06-16
14734,CUST-3398,Susan Brown,Electronics,Headphones,679.97,4.0,2719.88,Credit Card,Phoenix,2023-08-01
12607,CUST-3765,Michael Martin,Home,Chair,607.61,8.0,4860.88,,Houston,2024-07-23
9312,CUST-9822,Karen Jackson,Beauty,Lipstick,952.97,3.0,28589.1,Credit Card,Los Angeles,2023-11-25
9890,CUST-8553,Susan Davis,Electronics,Headphones,302.97,9.0,2726.7300000000005,Credit Card,Houston,2023-02-15
2939,CUST-4768,Michael Moore,Sports,Football,952.7,5.0,4763.5,Debit Card,New York,2024-12-04
755,CUST-5008,Thomas Taylor,Electronics,Laptop,147.88,6.0,887.28,Credit Card,Los Angeles,2023-06-30
11998,CUST-6598,Richard Jackson,Electronics,Smartphone,314.25,,1885.5,Debit Card,New York,2024-05-24
8740,CUST-6674,Susan Williams,Beauty,Lipstick,594.85,5.0,2974.25,Debit Card,New York,2023-09-08
8235,CUST-8617,Sarah Brown,Electronics,Tablet,105.95,,741.65,Cash,Philadelphia,2024-12-04
10194,CUST-8222,Susan Johnson,Sports,Tennis Racket,889.76,4.0,3559.04,Credit Card,San Diego,2023-10-23
5208,CUST-6127,Richard Davis,Beauty,Cream,440.19,8.0,3521.52,PayPal,San Diego,2023-06-28
14908,CUST-7278,Patricia Anderson,Sports,Dumbbells,511.49,1.0,511.49,Credit Card,Houston,2023-11-11
2138,CUST-5262,Barbara Hernandez,Beauty,Shampoo,734.18,7.0,5139.259999999999,Credit Card,Chicago,2023-11-13
200,CUST-5239,Susan Martin,Home,Sofa,782.08,3.0,,PayPal,San Antonio,2023-10-01
3570,CUST-4748,Mary Wilson,Electronics,Tablet,,7.0,6045.06,Debit Card,Los Angeles,2024-02-25
6477,CUST-2459,Sarah Miller,Home,Lamp,521.96,1.0,521.96,Cash,San Antonio,2023-09-18
8663,CUST-9476,Jessica Smith,Sports,Bike,,7.0,316.82,PayPal,Dallas,2023-11-23
10353,CUST-2065,Patricia Johnson,Home,Chair,115.81,6.0,694.86,PayPal,San Antonio,2023-08-07
8093,CUST-1537,Mary Johnson,Beauty,Lipstick,590.0,1.0,590.0,Credit Card,Phoenix,2023-10-12
1962,CUST-9490,Joseph Hernandez,Electronics,Monitor,415.81,6.0,2494.86,Debit Card,Houston,2023-09-16
6181,CUST-9422,Joseph Gonzalez,Clothing,T-Shirt,597.56,4.0,2390.24,Debit Card,Dallas,2023-11-18
13622,CUST-8925,Charles Moore,Sports,Bike,305.22,9.0,,Cash,Dallas,2023-04-18
13732,CUST-5391,James Gonzalez,Clothing,T-Shirt,324.95,3.0,974.8499999999999,Debit Card,Philadelphia,2023-10-06
6996,CUST-8954,Jennifer Garcia,Home,Sofa,583.94,3.0,1751.8200000000002,Debit Card,Philadelphia,2024-06-12
6490,CUST-5147,John Davis,Electronics,Headphones,,4.0,2870.2,Cash,Philadelphia,2023-03-06
5366,CUST-5760,Michael Jackson,Sports,Bike,990.38,2.0,1980.76,Debit Card,San Diego,2024-11-09
3770,CUST-8441,Jessica Lopez,Electronics,Tablet,125.42,4.0,501.68,Debit Card,San Jose,2024-03-09
4496,CUST-5769,Karen Hernandez,Electronics,Monitor,614.01,4.0,2456.04,Debit Card,San Jose,2023-10-16
9145,CUST-5789,Linda Wilson,Beauty,,736.58,7.0,5156.06,Debit Card,San Jose,2023-01-12
7683,CUST-9950,Michael Lopez,Electronics,Headphones,618.75,4.0,24750.0,,Houston,2024-08-17
11050,CUST-6295,Robert Martinez,Beauty,Shampoo,,3.0,525.51,,New York,2023-07-15
6640,CUST-1272,Jessica Jones,Electronics,Laptop,455.31,7.0,3187.17,Cash,San Antonio,2023-05-27
7964,CUST-4618,Joseph Anderson,Home,Sofa,473.78,2.0,947.56,Credit Card,Dallas,2023-11-17
1242,CUST-4543,Charles Martin,Beauty,Cream,778.83,6.0,4672.9800000000005,PayPal,San Diego,2023-02-06
12885,CUST-4167,James Taylor,Home,Rug,122.8,2.0,245.6,Credit Card,Los Angeles,2023-01-12
8326,CUST-2458,Elizabeth Jones,Sports,Yoga Mat,827.06,6.0,4962.36,Cash,San Jose,2024-11-08
6007,CUST-8614,William Lopez,Sports,Football,523.18,9.0,4708.62,Cash,Los Angeles,2023-07-04
8287,CUST-6949,Susan Brown,Home,Sofa,446.86,7.0,3128.02,Cash,Philadelphia,2023-03-19
9291,CUST-5509,Richard Gonzalez,Beauty,,516.9,2.0,1033.8,PayPal,Dallas,2024-04-28
1167,CUST-2149,Charles Jackson,Beauty,Lipstick,833.81,6.0,5002.86,PayPal,Philadelphia,2024-01-08
3889,CUST-6922,Barbara Martinez,Beauty,Perfume,633.52,9.0,5701.68,Cash,San Diego,2023-02-17
7490,CUST-3154,Thomas Johnson,Clothing,Jeans,809.4,2.0,1618.8,Debit Card,San Diego,2023-07-04
6628,CUST-1135,David Anderson,Clothing,Jeans,695.95,8.0,5567.6,Credit Card,Chicago,2023-07-17
7674,CUST-7286,Elizabeth Johnson,Electronics,Monitor,,0.0,2662.6499999999996,Cash,Houston,2024-12-25
8421,CUST-7234,Patricia Thomas,Electronics,Tablet,576.11,4.0,2304.44,Debit Card,Los Angeles,2023-04-29
666,CUST-2990,Linda Wilson,Beauty,Perfume,161.33,3.0,483.99,PayPal,Los Angeles,2023-04-20
1577,CUST-6040,David Moore,Clothing,Dress,33.4,1.0,33.4,PayPal,Phoenix,2023-02-04
11887,CUST-3193,James Jackson,Clothing,,251.4,8.0,2011.2,Debit Card,New York,2024-12-16
2379,CUST-1707,Linda Wilson,Beauty,Cream,451.96,3.0,13558.8,Debit Card,Houston,2024-12-17
11945,CUST-1011,John Johnson,Sports,Football,925.37,6.0,5552.22,PayPal,San Antonio,2024-11-01
14002,CUST-8941,Patricia Miller,Beauty,Mascara,98.58,2.0,197.16,Cash,New York,2023-01-24
3952,CUST-5973,Robert Martinez,Electronics,Tablet,836.6,6.0,5019.6,Cash,San Diego,2023-05-29
1290,CUST-7004,Barbara Hernandez,Electronics,Headphones,87.79,,614.5300000000001,Cash,Dallas,2024-09-10
2208,CUST-6382,Michael Hernandez,Clothing,T-Shirt,859.76,6.0,5158.5599999999995,Cash,Philadelphia,2023-11-21
4300,CUST-4204,Linda Jones,Home,Chair,599.72,9.0,5397.4800000000005,Debit Card,Los Angeles,2023-01-30
7308,CUST-7539,Richard Wilson,Home,Rug,304.6,,913.8000000000001,,New York,2023-02-19
1298,CUST-7125,David Davis,Electronics,Monitor,113.52,4.0,454.08,Credit Card,Dallas,2024-09-03
10657,CUST-3304,William Jones,Beauty,Lipstick,437.8,6.0,2626.8,PayPal,San Antonio,2024-11-12
6902,CUST-9801,Michael Taylor,Clothing,Jeans,207.58,7.0,1453.0600000000002,Credit Card,San Jose,2024-02-16
11415,CUST-1514,Linda Hernandez,Sports,Tennis Racket,,7.0,2952.3199999999997,Credit Card,Los Angeles,2024-12-07
3141,CUST-5653,Jessica Johnson,Beauty,Mascara,377.4,5.0,1887.0,Credit Card,Los Angeles,2024-05-28
4017,CUST-5753,David Wilson,Home,Sofa,887.23,1.0,887.23,Credit Card,San Diego,2023-08-31
7621,CUST-7026,Jennifer Smith,Beauty,Lipstick,862.42,5.0,4312.099999999999,Cash,San Jose,2023-02-19
7969,CUST-3509,Richard Jones,Sports,Dumbbells,426.13,4.0,,Debit Card,Los Angeles,2024-02-26
13634,CUST-9458,Michael Martinez,Sports,Football,664.42,6.0,3986.5199999999995,PayPal,Dallas,2024-11-17
10586,CUST-3511,Jennifer Smith,Home,Chair,328.52,4.0,1314.08,Credit Card,Chicago,2024-05-12
364,CUST-6793,Michael Lopez,Electronics,Monitor,550.16,,4951.44,PayPal,San Jose,2024-08-25
6986,CUST-8802,Susan Wilson,Home,Chair,310.18,7.0,21712.600000000002,PayPal,Phoenix,2023-10-01
6234,CUST-8291,Barbara Williams,Home,Rug,182.75,6.0,1096.5,Debit Card,Philadelphia,2024-11-04
2390,CUST-5743,John Williams,Clothing,Jacket,691.52,4.0,2766.08,Credit Card,Chicago,2024-09-29
12477,CUST-6767,Susan Williams,Sports,Tennis Racket,220.5,4.0,882.0,Debit Card,San Antonio,2024-01-14
4419,CUST-1382,Mary Jackson,Beauty,Shampoo,342.02,6.0,2052.12,Debit Card,Phoenix,2024-03-24
3648,CUST-1255,Elizabeth Anderson,Beauty,,435.69,5.0,2178.45,Credit Card,Chicago,2023-05-31
